objeto,capa,dominio,tipo_brecha,detalle,n_dashboards_impactados,dashboards_impactados
rpt_encuestas_nps,gold,cliente,columnas_sin_descripcion,5 de 5 columnas sin descripción,1,12
rpt_facturas,gold,finanzas,columnas_sin_descripcion,7 de 7 columnas sin descripción,1,08
rpt_fuente_unica,gold,sucursales,columnas_sin_descripcion,4 de 4 columnas sin descripción,1,11
rpt_funnel_semanal,gold,ventas,columnas_sin_descripcion,6 de 6 columnas sin descripción,1,02
rpt_inventario_actual,gold,inventario,columnas_sin_descripcion,8 de 8 columnas sin descripción,1,07
rpt_kpi_historico,gold,scorecard,columnas_sin_descripcion,4 de 4 columnas sin descripción,1,03
rpt_marketing_canales,gold,marketing,columnas_sin_descripcion,7 de 7 columnas sin descripción,1,09
rpt_metas_mensuales,gold,ventas,columnas_sin_descripcion,2 de 2 columnas sin descripción,1,01
rpt_plan_remediacion,gold,calidad,columnas_sin_descripcion,9 de 9 columnas sin descripción,1,13
rpt_precio_demanda,gold,ventas,columnas_sin_descripcion,4 de 4 columnas sin descripción,1,06
rpt_reglas_validacion,gold,calidad,columnas_sin_descripcion,11 de 11 columnas sin descripción,1,13
rpt_revision_manual_monto_faltante,gold,sucursales,columnas_sin_descripcion,4 de 4 columnas sin descripción,1,11
rpt_scorecard,gold,scorecard,columnas_sin_descripcion,7 de 7 columnas sin descripción,1,03
rpt_scorecard_calidad_tablas,gold,calidad,columnas_sin_descripcion,7 de 7 columnas sin descripción,1,13
rpt_transacciones,gold,cliente,columnas_sin_descripcion,3 de 3 columnas sin descripción,1,05
rpt_transacciones_ejecutivo,gold,ventas,columnas_sin_descripcion,7 de 7 columnas sin descripción,1,10
rpt_ventas_diarias,gold,ventas,columnas_sin_descripcion,5 de 5 columnas sin descripción,1,01
scorecard.kpi_captura_manual,bronze,scorecard,columnas_sin_descripcion,7 de 7 columnas sin descripción,1,03
scorecard.kpi_meta,bronze,scorecard,columnas_sin_descripcion,2 de 2 columnas sin descripción,1,03
stg_crm__meta_venta,staging,ventas,columnas_sin_descripcion,2 de 2 columnas sin descripción,1,01
stg_crm__oportunidad_evento,staging,ventas,columnas_sin_descripcion,5 de 5 columnas sin descripción,1,02
stg_erp__pago,staging,finanzas,columnas_sin_descripcion,5 de 5 columnas sin descripción,1,08
stg_erp__suscripcion_cargo,staging,finanzas,columnas_sin_descripcion,4 de 4 columnas sin descripción,1,04
stg_helpdesk__ticket_soporte,staging,cliente,columnas_sin_descripcion,5 de 5 columnas sin descripción,1,04
stg_producto_analytics__evento_actividad,staging,cliente,columnas_sin_descripcion,5 de 5 columnas sin descripción,1,04
stg_scorecard__kpi_captura_manual,staging,scorecard,columnas_sin_descripcion,8 de 8 columnas sin descripción,1,03
stg_scorecard__kpi_meta,staging,scorecard,columnas_sin_descripcion,2 de 2 columnas sin descripción,1,03
stg_wms__inventario_snapshot,staging,inventario,columnas_sin_descripcion,4 de 4 columnas sin descripción,1,07
wms.inventario_snapshot,bronze,inventario,columnas_sin_descripcion,4 de 4 columnas sin descripción,1,07
fct_canal_roi,marts,marketing,columnas_sin_descripcion,7 de 7 columnas sin descripción,0,
fct_cliente_churn_score,marts,cliente,columnas_sin_descripcion,4 de 4 columnas sin descripción,0,
fct_cliente_pago_segmento,marts,finanzas,columnas_sin_descripcion,3 de 3 columnas sin descripción,0,
fct_cliente_rfm_score,marts,ventas,columnas_sin_descripcion,6 de 6 columnas sin descripción,0,
fct_producto_elasticidad,marts,ventas,columnas_sin_descripcion,6 de 6 columnas sin descripción,0,
fct_subcategoria_tendencia,marts,ventas,columnas_sin_descripcion,8 de 8 columnas sin descripción,0,
stg_erp__calendario,staging,core,columnas_sin_descripcion,7 de 7 columnas sin descripción,0,
