objeto,tipo,capa,dominio,grupo,materializacion,relacion,contrato_enforced,tiene_descripcion,columnas,columnas_con_descripcion,tests,tests_pass,tests_warn,tests_fail,n_upstream,n_downstream,n_downstream_transitivo,dashboards_impactados,sistemas_origen,upstream,downstream,archivo
int_pedidos_enriquecidos,model,intermediate,ventas,,view,intermediate.int_pedidos_enriquecidos,no,sí,14,0,3,3,0,0,2,1,16,01 03 05 06 07 09 10,erp pos,int_producto_depurado stg_pos__pedido_linea,fct_pedido,models/intermediate/int_pedidos_enriquecidos.sql
int_producto_depurado,model,intermediate,core,,view,intermediate.int_producto_depurado,no,sí,8,0,3,3,0,0,1,3,24,01 03 05 06 07 08 09 10,erp,stg_erp__producto,dim_producto int_factura_linea_validada int_pedidos_enriquecidos,models/intermediate/int_producto_depurado.sql
int_ventas_sucursal_pendiente,model,intermediate,sucursales,,view,intermediate.int_ventas_sucursal_pendiente,no,sí,4,0,0,0,0,0,3,1,2,11,sucursales,stg_sucursales__cdmx stg_sucursales__guadalajara stg_sucursales__monterrey,fct_venta_sucursal_pendiente_revision,models/intermediate/int_ventas_sucursal_pendiente.sql
int_ventas_sucursal_unificada,model,intermediate,sucursales,,view,intermediate.int_ventas_sucursal_unificada,no,sí,6,0,1,1,0,0,3,1,4,03 11,sucursales,stg_sucursales__cdmx stg_sucursales__guadalajara stg_sucursales__monterrey,fct_venta_sucursal,models/intermediate/int_ventas_sucursal_unificada.sql
fct_cancelacion,model,marts,cliente,cliente,table,marts.fct_cancelacion,no,sí,3,0,3,3,0,0,2,2,6,04 09,crm,dim_cliente stg_crm__cancelacion,fct_cliente_features_churn int_canal_mes_metricas,models/marts/cliente/fct_cancelacion.sql
fct_cliente_churn_score,model,marts,cliente,cliente,table,marts.fct_cliente_churn_score,no,sí,4,0,5,5,0,0,1,0,0,,crm erp helpdesk producto_analytics,fct_cliente_features_churn,,models/marts/cliente/fct_cliente_churn_score.sql
fct_cliente_features_churn,model,marts,cliente,cliente,table,marts.fct_cliente_features_churn,no,sí,10,0,7,7,0,0,5,2,2,04,crm erp helpdesk producto_analytics,dim_cliente fct_cancelacion fct_evento_actividad fct_suscripcion_cargo fct_ticket_soporte,fct_cliente_churn_score rpt_clientes_churn,models/marts/cliente/fct_cliente_features_churn.sql
fct_encuesta_nps,model,marts,cliente,cliente,table,marts.fct_encuesta_nps,no,sí,7,1,11,11,0,0,2,2,3,03 12,crm encuestas,dim_cliente stg_encuestas__encuesta_nps,rpt_encuestas_nps rpt_kpi_historico,models/marts/cliente/fct_encuesta_nps.sql
fct_evento_actividad,model,marts,cliente,cliente,table,marts.fct_evento_actividad,no,sí,6,0,9,9,0,0,2,1,3,04,crm producto_analytics,dim_cliente stg_producto_analytics__evento_actividad,fct_cliente_features_churn,models/marts/cliente/fct_evento_actividad.sql
fct_ticket_soporte,model,marts,cliente,cliente,table,marts.fct_ticket_soporte,no,sí,6,0,5,5,0,0,2,1,3,04,crm helpdesk,dim_cliente stg_helpdesk__ticket_soporte,fct_cliente_features_churn,models/marts/cliente/fct_ticket_soporte.sql
